,portfolio_value
2024-05-08,5741199.32084897
2024-05-09,5531157.696106293
2024-05-10,5531157.696106293
2024-05-13,5531048.8857458765
2024-05-14,5569792.2681447435
2024-05-15,5565698.416371622
2024-05-16,5532024.364078515
2024-05-17,5566785.523790677
2024-05-21,5368813.9492029445
2024-05-22,5368813.9492029445
2024-05-23,5368813.9492029445
2024-05-24,5368813.9492029445
2024-05-27,5368704.212208931
2024-05-28,5348550.210087191
2024-05-29,5385145.682708119
2024-05-30,5351309.470562341
2024-05-31,5377813.989261689
2024-06-03,5176224.566058692
2024-06-04,5154936.306384985
2024-06-05,5172328.627581005
2024-06-06,5174405.7181004
2024-06-07,4928703.538907369
2024-06-10,4966441.434496326
2024-06-11,4799721.599371619
2024-06-12,4799721.599371619
2024-06-13,4799721.599371619
2024-06-14,4799721.599371619
2024-06-18,4799721.599371619
2024-06-19,4799721.599371619
2024-06-20,4799721.599371619
2024-06-21,4799721.599371619
2024-06-24,4799721.599371619
2024-06-25,4799721.599371619
2024-06-26,4799619.092343631
2024-06-27,5092606.124321851
2024-06-28,5092483.687162489
2024-07-01,5070643.796390722
2024-07-02,5085933.337022265
2024-07-03,5062290.768513557
2024-07-04,5265214.9203682225
2024-07-05,5265214.9203682225
2024-07-08,5265214.9203682225
2024-07-09,5265214.9203682225
2024-07-10,5265214.9203682225
2024-07-11,5265214.9203682225
2024-07-12,5265214.9203682225
2024-07-15,5265214.9203682225
2024-07-16,5265214.9203682225
2024-07-18,5265214.9203682225
2024-07-19,5265214.9203682225
2024-07-22,5265214.9203682225
2024-07-23,5265214.9203682225
2024-07-24,5265214.9203682225
2024-07-25,5265214.9203682225
2024-07-26,5265214.9203682225
2024-07-29,5265214.9203682225
2024-07-30,5265214.9203682225
2024-07-31,5265214.9203682225
2024-08-01,5265214.9203682225
2024-08-02,5265214.9203682225
2024-08-05,5265214.9203682225
2024-08-06,5265086.938793321
2024-08-07,5289841.181991845
2024-08-08,5315762.239205634
2024-08-09,5312096.888781017
2024-08-12,5314316.880355991
2024-08-13,5124756.512167002
2024-08-14,5131534.198743828
2024-08-16,5142424.939763818
2024-08-19,5135295.695968589
2024-08-20,5523628.21957078
2024-08-21,5523628.21957078
2024-08-22,5523543.582190009
2024-08-23,5918472.429033322
2024-08-26,5918388.333803664
2024-08-27,6428827.183177804
2024-08-28,6428827.183177804
2024-08-29,6428827.183177804
2024-08-30,6428676.615161291
2024-09-02,6281576.065660223
2024-09-03,6281432.2750647105
2024-09-04,6317936.273128289
2024-09-05,6341815.679988368
2024-09-06,6331795.399414507
2024-09-09,6339903.457482189
2024-09-10,6159077.664922034
2024-09-11,6159077.664922034
